t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_shoulder_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw,left_hip_abad,left_hip_pitch,left_knee,left_ankle,right_shoulder_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw,right_hip_abad,right_hip_pitch,right_knee,right_ankle,left_shoulder_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_v,left_hip_abad_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_shoulder_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_v,right_hip_abad_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0,0,0,0.6090469,0.998767558503388,0.015442993173558,0.047162979152011,-0.000728999677752,0,0,0,0,0,0,-0.083080070946341,0.328237505113859,0.444982643692444,-0.410118,-0.07547295918365,0.24334111708157,-0.054449255233531,0.014371,-0.121233250100415,0.027110998454838,0.14605701053816,0.214518430362978,-0.409896,0.163712860432499,0.051928760609816,-0.007092816642922,0.146053,-0.305073088887789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,-0.0016716,-0.0017542,0.6074747,0.998346679038703,0.009261006298996,0.056211038232681,0.007646005200532,-0.0267456,-0.0280672,-0.0251552,0,0,0,-0.05608169248423,0.357366957965742,0.488340441570987,-0.435742,-0.099331589750325,0.266021622317233,-0.132465400617144,0.098176,-0.122309109759734,0.089130926478267,0.177554174574796,0.175243883728407,-0.40824,0.117644055267954,0.060488207444714,-0.057560026437816,0.201051,-0.386734339346024,0.431974055393764,0.466071245630138,0.693724766056698,-0.409984000000001,-0.381738089066813,0.362888083770599,-1.2482583261378,1.34088,-0.017213754549115,0.992318848374858,0.503954624586176,-0.628392746153128,0.026496,-0.737100882632728,0.13695114935836,-0.807475356718296,0.879968,-1.30658000733175
0.125,-0.0039438,-0.0018018,0.6022884,0.997810746367516,0.00661499831854,0.057115985481747,0.032675991694123,-0.0363552,-0.0007616,-0.0829808,0,0,0,-0.004717857902479,0.3828173564016,0.583610994416125,-0.475386,-0.122507428366872,0.275318403361216,-0.232363018478727,0.229209,-0.108490047309706,0.172748534184984,0.189034057516821,0.292067080589757,-0.413093,-0.046071234018187,0.114872611848141,-0.148897126010511,0.342164,-0.373225905910114,0.821821353308028,0.407206374973721,1.52432884552221,-0.634303999999999,-0.370813417864748,0.148748496703734,-1.59836188578533,2.096528,0.221104999200447,1.33788172330747,0.183678127072396,1.86917114978159,-0.077648,-2.61944462857825,0.870150470454834,-1.46139359316313,2.257808,0.216134934974557
0.1875,-0.0036323,-0.0027524,0.5932633,0.996483857507801,0.012538998206986,0.053037992415833,0.063636990900229,0.004984,-0.0152096,-0.1444016,0,0,0,0.053249356704613,0.417266684107784,0.673330342832261,-0.394198,-0.143225119382267,0.26827463482483,-0.322615337715122,0.364975,-0.075031700203262,0.172265246472877,0.158734903221428,0.540822573381876,-0.545337,-0.156447737447712,0.162565178663092,-0.240537133284868,0.517067,-0.359713104991305,0.927475433713463,0.551189243298943,1.43550957465818,1.299008,-0.331483056246322,-0.112700296582173,-1.44403710778232,2.172256,0.535333553703109,-0.00773260339371,-0.484786468726288,3.9800878846739,-2.115904,-1.76602405487241,0.763081069039214,-1.46624011638971,2.798448,0.216204814700944
0.25,-0.0004403,-0.0064834,0.5904045,0.994400700059459,0.008922997308561,0.048904985248816,0.093251971872459,0.051072,-0.059696,-0.045740799999999,0,0,0,0.224015072025038,0.562016883317965,0.373030258155868,-0.181472,-0.168219404157195,0.29098358086096,-0.400997404620754,0.476361,0.041578247230621,-0.064436929173476,0.14741563238297,0.858239919384638,-0.926423,-0.20479445957057,0.17454402568836,-0.286090415077126,0.624264,-0.285977585494784,2.7322514451268,2.31600318736289,-4.80480135482229,3.403616,-0.399908556398837,0.363343136578068,-1.25411307049012,1.782176,1.86575915894213,-3.78723481034164,-0.181108333415317,5.0786775360442,-6.097376,-0.773547553965729,0.191661552404283,-0.728852508676127,1.715152,1.17976831194434
0.3125,0.0008232,-0.0116221,0.6086997,0.992579913853497,-0.000378999967106,0.058521994920847,0.106583990749523,0.020216,-0.0822192,0.292723199999999,0,0,0,0.620884292194291,0.769742480238431,0.11308664034206,-0.179904,-0.216752907455185,0.329307516015591,-0.567479351574966,0.64379,0.230657703753394,-0.523347648640688,0.242252264815322,1.16746915722015,-1.373357,-0.152460558023308,0.132528200938263,-0.218423534936725,0.488996,-0.192648066971721,6.34990752270804,3.32360955072746,-4.15909788502093,0.025088,-0.776536052767844,0.613182962474097,-2.66371115126738,2.678864,3.02527130436437,-7.34257151147539,1.51738611891764,4.94766780536817,-7.150944,0.837342424756192,-0.67225319600155,1.08267008224643,-2.164288,1.493272296369
0.375,0.0034391,-0.0127939,0.6450192,0.991600948604333,-0.019916998967682,0.075623996080333,0.103013994660682,0.0418544,-0.0187488,0.581112000000001,0,0,0,1.11744260379745,0.876966986312902,-0.039449775417889,-0.201052,-0.227515606199462,0.348998376757062,-0.695874474434597,0.708063,0.291885640345005,-1.22110914891724,0.213546537628168,1.51307200766274,-1.494923,0.034156188960248,0.021308267914026,-0.13443768374462,0.271888,-0.199705127415217,7.94493298565047,1.71559209719153,-2.44058265215919,-0.338368,-0.172203179908435,0.315053771863548,-2.0543219657541,1.028368,0.979646985465777,-11.1641840044249,-0.459291634994468,5.52964560708146,-1.945056,2.9858679517369,-1.77951892838779,1.34377361907367,-3.473728,-0.112912967095928
0.4375,0.0059906,-0.0099078,0.6718117,0.990264381095893,-0.037933014598239,0.091927035377437,0.097401037484066,0.040824,0.0461776,0.42868,0,0,0,1.55030293463623,0.787984257519476,-0.238861942382233,-0.257929,-0.234518028797816,0.323568917548387,-0.797048542206337,0.752472,0.215612959998228,-1.70959173123189,0.191956463171937,1.78516045742231,-1.57806,0.15306414965763,-0.023111544475524,-0.115599916777859,0.190821,-0.254656183088545,6.92576529342053,-1.42372366069482,-3.19059467142949,-0.910032,-0.112038761573659,-0.406871347338812,-1.61878508434785,0.710544000000001,-1.22036288554844,-7.81572131703439,-0.3454411912997,4.35341519615315,-1.330192,1.90252737115811,-0.710716998232797,0.301404271468187,-1.297072,-0.879216890773254
0.5,0.0113673,-0.0039781,0.6673401,0.989049027680021,-0.047849001339126,0.091656002565131,0.105317002947454,0.0860272,0.0948752,-0.0715456,0,0,0,1.70160105915229,0.651172730576686,-0.291539225390912,-0.282283,-0.212796434447609,0.270988282092457,-0.84722528747996,0.797454,0.192430229113753,-1.91958327954744,0.10831702423629,1.92857575424853,-1.39697,-0.080286019461987,0.063089048969944,-0.115048274723227,0.321739,0.136127326460787,2.42076999225691,-2.18898443108463,-0.842836528138875,-0.389664,0.347545509603304,-0.841290167294882,-0.802827924377965,0.719711999999999,-0.370923694151589,-3.35986477304866,-1.33823102297035,2.2946447492195,2.89744,-3.73360270591387,1.37920949512749,0.008826272874102,2.094688,6.25253615278931
0.5625,0.0188265,0.0016898,0.6355475,0.986860344558895,-0.069303024196913,0.086687030266479,0.117427040999248,0.1193472,0.0906864,-0.508681600000001,0,0,0,1.70091766374403,0.539990599284441,-0.322894315616264,-0.294775,-0.218518631195913,0.256612897268724,-0.904678649206645,0.881144,0.142931370797048,-1.83584295779753,-0.021532335990787,1.67151034247408,-1.349949,-0.274027432612382,0.123163978512277,-0.11249728588975,0.439898,-0.006374898156274,-0.010934326532038,-1.77891410067592,-0.501681443605626,-0.199872,-0.091555147972867,-0.230006157179727,-0.91925378762696,1.33904,-0.791981733067285,1.3398451479985,-2.07758976363323,-4.11304658839117,0.752336,-3.09986261040632,0.96119887267733,0.040815821335642,1.890544,-2.28003559387298
